treatment	id	game	period	choice	other_choice	session
Control	52	24	4	d	d	contr_1
Control	52	24	5	d	d	contr_1
Control	52	24	6	d	d	contr_1
Control	52	25	1	c	d	contr_1
Control	52	25	2	c	c	contr_1
Control	52	25	3	c	c	contr_1
Control	52	25	4	c	c	contr_1
Control	52	25	5	d	c	contr_1
Control	52	26	1	c	d	contr_1
Control	52	27	1	c	d	contr_1
Control	52	27	2	d	c	contr_1
Control	52	27	3	d	c	contr_1
Control	52	27	4	c	d	contr_1
Control	52	27	5	d	d	contr_1
Control	52	27	6	d	d	contr_1
Control	53	1	1	c	d	contr_1
Control	53	1	2	d	c	contr_1
Control	53	1	3	d	d	contr_1
Control	53	1	4	d	c	contr_1
Control	53	1	5	d	d	contr_1
Control	53	1	6	d	d	contr_1
Control	53	1	7	d	c	contr_1
Control	53	1	8	d	c	contr_1
Control	53	1	9	d	c	contr_1
Control	53	1	10	d	c	contr_1
Control	53	1	11	d	c	contr_1
Control	53	1	12	d	c	contr_1
Control	53	1	13	d	c	contr_1
Control	53	1	14	d	c	contr_1
Control	53	2	1	c	d	contr_1
Control	53	2	2	d	c	contr_1
Control	53	2	3	d	d	contr_1
Control	53	2	4	d	d	contr_1
Control	53	2	5	d	d	contr_1
Control	53	2	6	c	d	contr_1
Control	53	2	7	d	d	contr_1
Control	53	2	8	d	c	contr_1
Control	53	3	1	c	d	contr_1
Control	53	3	2	c	d	contr_1
Control	53	3	3	d	c	contr_1
Control	53	4	1	d	d	contr_1
Control	53	5	1	d	d	contr_1
Control	53	5	2	d	d	contr_1
Control	53	5	3	d	d	contr_1
Control	53	6	1	d	c	contr_1
Control	53	7	1	d	c	contr_1
Control	53	7	2	d	c	contr_1
Control	53	7	3	c	d	contr_1
Control	53	7	4	c	c	contr_1
Control	53	7	5	c	c	contr_1
Control	53	7	6	c	c	contr_1
Control	53	7	7	c	c	contr_1
Control	53	7	8	c	c	contr_1
Control	53	7	9	c	c	contr_1
Control	53	7	10	c	c	contr_1
Control	53	7	11	c	c	contr_1
Control	53	8	1	d	d	contr_1
Control	53	8	2	d	d	contr_1
Control	53	8	3	d	d	contr_1
